inf,ja,ti,on,mi,vi,oni
biti,budem,budeš,bude,budemo,budete,budu
ići,idem,ideš,ide,idemo,idete,idu
raditi,radim,radiš,radi,radimo,radite,rade
učiti,učim,učiš,uči,učimo,učite,uče
mislim,mislim,misliš,misli,mislimo,mislite,misle
kupiti,kupim,kupiš,kupi,kupimo,kupite,kupe
željeti,želim,želiš,želi,želimo,želite,žele
voljeti,volim,voliš,voli,volimo,volite,vole
videti,vidim,vidiš,vidi,vidimo,vidite,vide
živeti,živim,živiš,živi,živimo,živite,žive
slušati,slušam,slušaš,sluša,slušamo,slušate,slušaju
gledati,gledam,gledaš,gleda,gledamo,gledate,gledaju
imati,imam,imaš,ima,imamo,imate,imaju
govoriti,govorim,govoriš,govori,govorimo,govorite,govore
voziti,vozim,voziš,vozi,vozimo,vozite,voze
zaboraviti,zaboravim,zaboraviš,zaboravi,zaboravimo,zaboravite,zaborave
značiti,značim,značiš,znači,značimo,značite,znače
kasniti,kasnim,kasniš,kasni,kasnimo,kasnite,kasne
koristiti,koristim,koristiš,koristi,koristimo,koristite,koriste
naručiti,naručim,naručiš,naruči,naručimo,naručite,naruče
nositi,nosim,nosiš,nosi,nosimo,nosite,nose
objasniti,objasnim,objasniš,objasni,objasnimo,objasnite,objasne
odgovoriti,odgovorim,odgovoriš,odgovori,odgovorimo,odgovorite,odgovore
platiti,platim,platiš,plati,platimo,platite,plate
pušiti,pušim,pušiš,puši,pušimo,pušite,puše
spremati,spremam,spremaš,sprema,spremamo,spremate,spremaju
večerati,večeram,večeraš,večera,večeramo,večerate,večeraju
igrati,igram,igraš,igra,igramo,igrate,igraju
morati,moram,moraš,mora,moramo,morate,moraju
ručati,ručam,ručaš,ruča,ručamo,ručate,ručaju
spavati,spavam,spavaš,spava,spavamo,spavate,spavaju
uživati,uživam,uživaš,uživa,uživamo,uživate,uživaju
doručkovati,doručkujem,doručkuješ,doručkuje,doručkujemo,doručkujete,doručkuju
jesti,jedem,jedeš,jede,jedemo,jedete,jedu
piti,pijem,piješ,pije,pijemo,pijete,piju
poslati,pošaljem,pošalješ,pošalje,pošaljemo,pošaljete,pošalju
razumeti,razumem,razumeš,razume,razumemo,razumete,razumeju
rezervisati,rezervišem,rezervišeš,rezerviše,rezervišemo,rezervišete,rezervišu
putovati,putujem,putuješ,putuje,putujemo,putujete,putuju
čuti,čujem,čuješ,čuje,čujemo,čujete,čuju
obući,obučem,obučeš,obuče,obučemo,obučete,obuku
naći,nađem,nađeš,nađe,nađemo,nađete,nađu
čitati,čitam,čitaš,čita,čitamo,čitate,čitaju
svirati,sviram,sviraš,svira,sviramo,svirate,sviraju
čekati,čekam,čekaš,čeka,čekamo,čekate,čekaju
baviti se,se bavim,se baviš,se bavi,se bavimo,se bavite,se bave
nalaziti se,se nalazim,se nalaziš,se nalazi,se nalazimo,se nalazite,se nalaze
preseliti se,se preselim,se preseliš,se preseli,se preselimo,se preselite,se presele
osećati se,se osećam,se osećaš,se oseća,se osećamo,se osećate,se osećaju
sviđati se,se sviđam,se sviđaš,se sviđa,se sviđamo,se sviđate,se sviđaju
zvati se,se zovem,se zoveš,se zove,se zovemo,se zovete,se zovu
hodati,hodam,hodaš,hoda,hodamo,hodate,hodaju
leteti,letim,letiš,leti,letimo,letite,lete
plivati,plivam,plivaš,pliva,plivamo,plivate,plivaju
penjati se,se penjem,se penješ,se penje,se penjemo,se penjete,se penju
trčati,trčim,trčiš,trči,trčimo,trčite,trče
dolaziti,dolazim,dolaziš,dolazi,dolazimo,dolazite,dolaze
ići,idem,ideš,ide,idemo,idete,idu
odlaziti,odlazim,odlaziš,odlazi,odlazimo,odlazite,odlaze
vratiti se,se vratim,se vratiš,se vrati,se vratimo,se vratite,se vrate
otići,odem,odeš,ode,odemo,odete,odu
doći,dođem,dođeš,dođe,dođemo,dođete,dođu
